"zip","state","county"
"53105","WI","Racine County"
"53518","WI","Richland County"
"53501","WI","Rock County"
"54526","WI","Rusk County"
"53561","WI","Sauk County"
"54828","WI","Sawyer County"
"54107","WI","Shawano County"
"53001","WI","Sheboygan County"
"54002","WI","St Croix County"
"54433","WI","Taylor County"
"54612","WI","Trempealeau County"
"54621","WI","Vernon County"
"54512","WI","Vilas County"
"53114","WI","Walworth County"
"54801","WI","Washburn County"
"53002","WI","Washington County"
"53005","WI","Waukesha County"
"54926","WI","Waupaca County"
"54923","WI","Waushara County"
"54901","WI","Winnebago County"
"54404","WI","Wood County"
